#,Function Name,HTTP Method,Endpoint Path,Target Router,Category,Priority,Est LOC,Dependencies,Notes
1,get_all_policies,GET,/api/admin/policies,roles.py,Policy Management,HIGH,25,"enforcer, activity_service",Returns all Casbin policies
2,add_new_policy,POST,/api/admin/policies,roles.py,Policy Management,HIGH,30,"enforcer, activity_service",Add new Casbin policy
3,delete_policy,DELETE,/api/admin/policies,roles.py,Policy Management,HIGH,30,"enforcer, activity_service",Delete Casbin policy
4,assign_role_to_user,POST,/api/admin/roles/assign,roles.py,Role Assignment,HIGH,35,"enforcer, role_service, activity_service",Use role_service from PHASE 1
5,remove_role_from_user,DELETE,/api/admin/roles/revoke,roles.py,Role Assignment,HIGH,35,"enforcer, role_service, activity_service",Use role_service from PHASE 1
6,get_user_roles,GET,/api/admin/users/{user_id}/roles,roles.py,Role Query,MEDIUM,20,"enforcer, db",Get roles for specific user
7,get_role_users,GET,/api/admin/roles/{role_name}/users,roles.py,Role Query,MEDIUM,30,"enforcer, db",Get users with specific role
8,remove_role_from_users,DELETE,/api/admin/roles/{role_name}/users,roles.py,Role Bulk Ops,MEDIUM,40,"enforcer, activity_service",Bulk remove role from all users
9,add_grouping_policy,POST,/api/admin/grouping-policies,roles.py,Grouping Policy,MEDIUM,25,"enforcer, activity_service",Add role inheritance
10,delete_grouping_policy,DELETE,/api/admin/grouping-policies,roles.py,Grouping Policy,MEDIUM,25,"enforcer, activity_service",Remove role inheritance
11,get_all_roles_with_info,GET,/api/admin/roles,roles.py,Role Management,HIGH,40,"enforcer, db",Get all roles with user counts
12,delete_role_atomic,DELETE,/api/admin/roles/{role_name},roles.py,Role Management,HIGH,50,"enforcer, activity_service",Atomic role deletion with all policies
13,get_policy_templates,GET,/api/admin/policy-templates,roles.py,Templates,LOW,20,"Static data",Return available policy templates
14,add_policies_batch,POST,/api/admin/policies/batch,roles.py,Batch Operations,MEDIUM,45,"enforcer, activity_service",Batch add multiple policies
15,validate_policy_operation,POST,/api/admin/policies/validate,roles.py,Validation,LOW,30,enforcer,Validate policy before applying
16,apply_template_to_role,POST,/api/admin/policies/apply-template,roles.py,Templates,MEDIUM,40,"enforcer, activity_service",Apply policy template to role
17,get_policy_statistics,GET,/api/admin/policies/statistics,roles.py,Analytics,LOW,35,"enforcer, db",Get policy usage statistics
18,get_policy_suggestions,GET,/api/admin/policies/suggestions,roles.py,Analytics,LOW,30,"enforcer, db",Suggest policies based on patterns
19,simulate_permission,POST,/api/admin/permissions/simulate,roles.py,Advanced,MEDIUM,25,enforcer,Simulate permission check
20,get_role_features,GET,/api/admin/roles/{role_name}/features,roles.py,Features,LOW,25,"enforcer, db",Get feature flags for role
21,toggle_role_feature,POST,/api/admin/roles/{role_name}/features/{feature_name}/toggle,roles.py,Features,LOW,30,"enforcer, activity_service",Toggle feature flag
22,explain_role_permissions,GET,/api/admin/roles/{role_name}/permissions/explain,roles.py,Advanced,LOW,35,enforcer,Explain why role has permissions
23,create_new_user,POST,/api/admin/users,users.py,User CRUD,HIGH,45,"db, user_service, activity_service",Create new user
24,get_all_users,GET,/api/admin/users,users.py,User CRUD,HIGH,40,"db, enforcer",Get all users with pagination
25,export_all_users,GET,/api/admin/users/export,users.py,User Export,MEDIUM,50,"db, pandas",Export users to Excel
26,stream_export_users_csv,GET,/api/admin/users/export/csv,users.py,User Export,MEDIUM,45,"db, StreamingResponse",Stream CSV export
27,get_user_details,GET,/api/admin/users/{user_id},users.py,User CRUD,HIGH,30,"db, enforcer",Get user details with roles
28,update_existing_user,PUT,/api/admin/users/{user_id},users.py,User CRUD,HIGH,50,"db, user_service, activity_service",Update user information
29,delete_existing_user,DELETE,/api/admin/users/{user_id},users.py,User CRUD,HIGH,40,"db, enforcer, activity_service",Delete user and revoke all roles
30,admin_set_user_password,POST,/api/admin/users/{user_id}/password,users.py,User Management,HIGH,30,"db, security, activity_service",Admin reset user password
31,bulk_user_action,POST,/api/admin/users/bulk,users.py,User Bulk Ops,MEDIUM,60,"db, enforcer, activity_service",Bulk enable/disable/delete users
32,get_sync_status,GET,/api/admin/sync/status,users.py,Sync,MEDIUM,25,"db, enforcer",Get Casbin sync status
33,sync_users,POST,/api/admin/sync/users,users.py,Sync,HIGH,30,"user_service, activity_service",Sync users to Casbin (uses user_service from PHASE 1)
34,get_user_statistics,GET,/api/admin/statistics/users,users.py,Analytics,LOW,35,"db, enforcer",Get user statistics
35,list_users,GET,/api/admin/users/list,users.py,User CRUD,LOW,25,db,Simple user list (may be duplicate of get_all_users)
36,bulk_assign_leads,POST,/api/admin/leads/bulk-assign,users.py,Lead Management,MEDIUM,45,"db, lead_service, activity_service",Bulk assign leads to users
37,import_leads_from_file,POST,/api/admin/leads/import,users.py,Lead Management,HIGH,40,"lead_service, activity_service",Import leads from CSV (uses lead_service from PHASE 1)
38,create_new_organization_unit,POST,/api/admin/organization-units,organization.py,Org CRUD,HIGH,40,"db, organization_service, activity_service",PHASE 2B - Defer
39,get_organization_unit_details,GET,/api/admin/organization-units/{unit_id},organization.py,Org CRUD,HIGH,30,"db, organization_service",PHASE 2B - Defer
40,update_existing_organization_unit,PUT,/api/admin/organization-units/{unit_id},organization.py,Org CRUD,HIGH,45,"db, organization_service, activity_service",PHASE 2B - Defer
41,delete_existing_organization_unit,DELETE,/api/admin/organization-units/{unit_id},organization.py,Org CRUD,HIGH,35,"db, organization_service, activity_service",PHASE 2B - Defer
42,create_new_program,POST,/api/admin/programs,organization.py,Program CRUD,HIGH,40,"db, organization_service, activity_service",PHASE 2B - Defer
43,get_program_details,GET,/api/admin/programs/{program_id},organization.py,Program CRUD,HIGH,30,"db, organization_service",PHASE 2B - Defer
44,update_existing_program,PUT,/api/admin/programs/{program_id},organization.py,Program CRUD,HIGH,45,"db, organization_service, activity_service",PHASE 2B - Defer
45,delete_existing_program,DELETE,/api/admin/programs/{program_id},organization.py,Program CRUD,HIGH,35,"db, organization_service, activity_service",PHASE 2B - Defer
46,create_new_offering,POST,/api/admin/offerings,organization.py,Offering CRUD,HIGH,45,"db, organization_service, activity_service",PHASE 2B - Defer
47,get_offering_details,GET,/api/admin/offerings/{offering_id},organization.py,Offering CRUD,HIGH,35,"db, organization_service",PHASE 2B - Defer
48,update_existing_offering,PUT,/api/admin/offerings/{offering_id},organization.py,Offering CRUD,HIGH,50,"db, organization_service, activity_service",PHASE 2B - Defer
49,delete_existing_offering,DELETE,/api/admin/offerings/{offering_id},organization.py,Offering CRUD,HIGH,35,"db, organization_service, activity_service",PHASE 2B - Defer
50,get_assignment_config_route,GET,/api/admin/config/assignment,config.py,Config Read,MEDIUM,25,"db, config_service",PHASE 2B - Defer
51,update_assignment_config_route,PUT,/api/admin/config/assignment,config.py,Config Write,MEDIUM,40,"db, config_service, activity_service",PHASE 2B - Defer
52,get_all_skill_rules_route,GET,/api/admin/config/skill-rules,config.py,Skill Rules,MEDIUM,30,"db, config_service",PHASE 2B - Defer
53,create_new_skill_rule_route,POST,/api/admin/config/skill-rules,config.py,Skill Rules,MEDIUM,35,"db, config_service, activity_service",PHASE 2B - Defer
54,delete_skill_rule_route,DELETE,/api/admin/config/skill-rules/{rule_id},config.py,Skill Rules,MEDIUM,30,"db, config_service, activity_service",PHASE 2B - Defer
55,get_distribution_rules,GET,/api/admin/distribution-rules,config.py,Distribution Rules,MEDIUM,35,"db, organization_service",PHASE 2B - Defer
56,create_distribution_rule,POST,/api/admin/distribution-rules,config.py,Distribution Rules,MEDIUM,45,"db, organization_service, activity_service",PHASE 2B - Defer
57,update_distribution_rule,PUT,/api/admin/distribution-rules/{rule_id},config.py,Distribution Rules,MEDIUM,40,"db, organization_service, activity_service",PHASE 2B - Defer
58,delete_distribution_rule,DELETE,/api/admin/distribution-rules/{rule_id},config.py,Distribution Rules,MEDIUM,30,"db, organization_service, activity_service",PHASE 2B - Defer
59,list_degree_levels,GET,/api/admin/degree-levels,config.py,Academic Config,LOW,25,"db, organization_service",PHASE 2B - Defer
60,create_degree_level,POST,/api/admin/degree-levels,config.py,Academic Config,LOW,30,"db, organization_service, activity_service",PHASE 2B - Defer
61,update_degree_level,PUT,/api/admin/degree-levels/{level_id},config.py,Academic Config,LOW,35,"db, organization_service, activity_service",PHASE 2B - Defer
62,delete_degree_level,DELETE,/api/admin/degree-levels/{level_id},config.py,Academic Config,LOW,25,"db, organization_service, activity_service",PHASE 2B - Defer
63,list_offering_types,GET,/api/admin/offering-types,config.py,Academic Config,LOW,25,"db, organization_service",PHASE 2B - Defer
64,create_offering_type,POST,/api/admin/offering-types,config.py,Academic Config,LOW,30,"db, organization_service, activity_service",PHASE 2B - Defer
65,update_offering_type,PUT,/api/admin/offering-types/{type_id},config.py,Academic Config,LOW,35,"db, organization_service, activity_service",PHASE 2B - Defer
66,delete_offering_type,DELETE,/api/admin/offering-types/{type_id},config.py,Academic Config,LOW,25,"db, organization_service, activity_service",PHASE 2B - Defer
67,create_offering_academic_info,POST,/api/admin/offerings/{offering_id}/academic,config.py,Academic Config,LOW,40,"db, organization_service, activity_service",PHASE 2B - Defer
68,update_offering_academic_info,PUT,/api/admin/offerings/{offering_id}/academic/{info_id},config.py,Academic Config,LOW,40,"db, organization_service, activity_service",PHASE 2B - Defer
69,delete_offering_academic_info,DELETE,/api/admin/offerings/{offering_id}/academic/{info_id},config.py,Academic Config,LOW,30,"db, organization_service, activity_service",PHASE 2B - Defer
70,get_all_pipeline_stages_list,GET,/api/admin/pipeline/stages,pipeline.py,Pipeline CRUD,MEDIUM,30,"db, pipeline_service",PHASE 2C - Defer
71,create_new_pipeline_stage,POST,/api/admin/pipeline/stages,pipeline.py,Pipeline CRUD,MEDIUM,40,"db, pipeline_service, activity_service",PHASE 2C - Defer
72,get_pipeline_stage_details,GET,/api/admin/pipeline/stages/{stage_id},pipeline.py,Pipeline CRUD,MEDIUM,25,"db, pipeline_service",PHASE 2C - Defer
73,update_existing_pipeline_stage,PUT,/api/admin/pipeline/stages/{stage_id},pipeline.py,Pipeline CRUD,MEDIUM,45,"db, pipeline_service, activity_service",PHASE 2C - Defer
74,delete_existing_pipeline_stage,DELETE,/api/admin/pipeline/stages/{stage_id},pipeline.py,Pipeline CRUD,MEDIUM,30,"db, pipeline_service, activity_service",PHASE 2C - Defer
75,get_all_consultation_statuses_list,GET,/api/admin/consultation/statuses,pipeline.py,Consultation CRUD,MEDIUM,30,"db, pipeline_service",PHASE 2C - Defer
76,create_new_consultation_status,POST,/api/admin/consultation/statuses,pipeline.py,Consultation CRUD,MEDIUM,40,"db, pipeline_service, activity_service",PHASE 2C - Defer
77,get_consultation_status_details,GET,/api/admin/consultation/statuses/{status_id},pipeline.py,Consultation CRUD,MEDIUM,25,"db, pipeline_service",PHASE 2C - Defer
78,update_existing_consultation_status,PUT,/api/admin/consultation/statuses/{status_id},pipeline.py,Consultation CRUD,MEDIUM,45,"db, pipeline_service, activity_service",PHASE 2C - Defer
79,delete_existing_consultation_status,DELETE,/api/admin/consultation/statuses/{status_id},pipeline.py,Consultation CRUD,MEDIUM,30,"db, pipeline_service, activity_service",PHASE 2C - Defer
80,get_all_allowed_transitions,GET,/api/admin/pipeline/transitions,pipeline.py,Transitions,MEDIUM,30,"db, pipeline_service",PHASE 2C - Defer
81,create_new_allowed_transition,POST,/api/admin/pipeline/transitions,pipeline.py,Transitions,MEDIUM,35,"db, pipeline_service, activity_service",PHASE 2C - Defer
82,delete_existing_allowed_transition,DELETE,/api/admin/pipeline/transitions/{transition_id},pipeline.py,Transitions,MEDIUM,25,"db, pipeline_service, activity_service",PHASE 2C - Defer
83,admin_revert_lead_status,POST,/api/admin/leads/{lead_id}/revert-status,pipeline.py,Lead Status,HIGH,40,"db, pipeline_service, activity_service",PHASE 2C - Defer
84,get_activity_logs,GET,/api/admin/activity-logs,users.py,Monitoring,MEDIUM,35,"db, activity_service",Get activity logs with filters
85,who_can_access_resource,POST,/api/admin/permissions/who-can-access,roles.py,Advanced,LOW,30,"enforcer, db",Find users who can access resource
