"id","from_status_id","to_status_id","created_at","updated_at"
1,"sts00","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
2,"sts00","sts02","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
3,"sts00","sts03","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
4,"sts00","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
5,"sts00","sts05","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
6,"sts00","sts06","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
7,"sts01","sts00","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
8,"sts01","sts02","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
9,"sts01","sts03","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
10,"sts01","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
11,"sts01","sts05","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
12,"sts01","sts06","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
13,"sts02","sts00","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
14,"sts02","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
15,"sts02","sts03","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
16,"sts02","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
17,"sts03","sts00","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
18,"sts15","sts00","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
19,"sts15","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
20,"sts15","sts05","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
21,"sts15","sts06","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
22,"sts05","sts04","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
23,"sts05","sts06","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
24,"sts05","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
25,"sts05","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
26,"sts06","sts04","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
27,"sts06","sts05","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
28,"sts06","sts07","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
29,"sts06","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
30,"sts06","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
31,"sts04","sts05","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
32,"sts04","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
33,"sts07","sts08","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
34,"sts07","sts09","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
35,"sts07","sts13","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
36,"sts07","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
37,"sts07","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
38,"sts08","sts07","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
39,"sts08","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
40,"sts09","sts08","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
41,"sts09","sts13","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
42,"sts09","sts10","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
43,"sts09","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
44,"sts09","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
45,"sts13","sts08","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
46,"sts13","sts09","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
47,"sts13","sts10","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
48,"sts13","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
49,"sts13","sts15","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
50,"sts10","sts11","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
51,"sts10","sts14","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
52,"sts10","sts01","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
53,"sts11","sts12","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
54,"sts12","sts07","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
55,"sts14","sts09","2025-12-16 10:00:00.000000+07","2025-12-16 10:00:00.000000+07"
