"id","ptype","v0","v1","v2","v3","v4","v5","template_id","applied_at","applied_by"
58,"p","role:officer","/api/leads","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
59,"p","role:officer","/api/leads/{lead_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
60,"p","role:officer","/api/leads/{lead_id}/consultations","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
61,"p","role:officer","/api/leads/{lead_id}/action","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
62,"p","role:officer","/api/pipeline/stages","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
63,"p","role:officer","/api/pipeline/all","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
64,"p","role:officer","/api/pipeline/allowed-next-statuses","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
65,"p","role:officer","/api/officer/stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
66,"p","role:officer","/api/officer/dashboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
67,"p","role:officer","/api/officer/leaderboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
68,"p","role:officer","/api/officer/team-stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
69,"p","role:officer","/api/officer/upcoming-activities","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
70,"p","role:officer","/api/officer/availability","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
71,"p","role:officer","/api/officer/recommendations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
72,"p","role:officer","/api/admissions","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
73,"p","role:officer","/api/admissions","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
74,"p","role:officer","/api/admissions/{profile_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
75,"p","role:officer","/api/admissions/{profile_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
76,"p","role:officer","/api/admissions/{profile_id}/submit","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
78,"p","role:officer","/api/admissions/{profile_id}/documents/{doc_code}/upload","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
79,"p","role:officer","/api/profile","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
80,"p","role:officer","/api/profile","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
81,"p","role:officer","/api/notifications","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
82,"p","role:officer","/api/notifications/mark-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
83,"p","role:officer","/api/notifications/mark-all-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
84,"p","role:officer","/api/notifications/{notification_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
85,"p","role:manager","/api/leads","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
86,"p","role:manager","/api/leads/{lead_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
87,"p","role:manager","/api/leads/{lead_id}/consultations","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
88,"p","role:manager","/api/leads/{lead_id}/action","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
89,"p","role:manager","/api/pipeline/stages","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
90,"p","role:manager","/api/pipeline/all","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
91,"p","role:manager","/api/pipeline/allowed-next-statuses","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
92,"p","role:manager","/api/officer/stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
93,"p","role:manager","/api/officer/dashboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
94,"p","role:manager","/api/officer/leaderboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
95,"p","role:manager","/api/officer/team-stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
96,"p","role:manager","/api/officer/upcoming-activities","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
97,"p","role:manager","/api/officer/availability","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
98,"p","role:manager","/api/officer/recommendations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
99,"p","role:manager","/api/admissions","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
100,"p","role:manager","/api/admissions","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
101,"p","role:manager","/api/admissions/{profile_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
102,"p","role:manager","/api/admissions/{profile_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
103,"p","role:manager","/api/admissions/{profile_id}/submit","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
105,"p","role:manager","/api/admissions/{profile_id}/documents/{doc_code}/upload","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
106,"p","role:manager","/api/profile","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
107,"p","role:manager","/api/profile","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
108,"p","role:manager","/api/notifications","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
109,"p","role:manager","/api/notifications/mark-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
110,"p","role:manager","/api/notifications/mark-all-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
111,"p","role:manager","/api/notifications/{notification_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
112,"p","role:manager","/api/admin/users",".*",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
114,"p","role:admin","/*",".*",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
115,"p","role:manager","/api/leads","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
116,"p","role:manager","/api/leads/{lead_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
117,"p","role:manager","/api/leads/{lead_id}/consultations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
118,"p","role:manager","/api/leads/{lead_id}/consultations/{consultation_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
119,"p","role:manager","/api/leads/{lead_id}/consultations/{consultation_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
120,"p","role:manager","/api/leads/{lead_id}/assign","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
121,"p","role:manager","/api/leads/{lead_id}/applications","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
122,"p","role:manager","/api/leads/{lead_id}/applications","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
123,"p","role:manager","/api/leads/export/csv","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
124,"p","role:manager","/api/leads/export/excel","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
125,"g","role:officer","role:user",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
126,"g","role:manager","role:officer",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
127,"g","role:admin","role:manager",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
128,"p","role:user","/api/profile","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
129,"p","role:user","/api/profile","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
130,"p","role:user","/api/notifications","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
131,"p","role:user","/api/notifications/mark-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
132,"p","role:user","/api/notifications/mark-all-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
133,"p","role:user","/api/notifications/{notification_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
134,"p","role:user","/api/sessions","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
135,"p","role:user","/api/sessions/{session_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
136,"p","role:user","/api/sessions/revoke-all","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
137,"p","role:user","/api/security/login-history","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
138,"p","role:user","/api/security/active-sessions","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
139,"p","role:user","/api/security/not-me","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
140,"p","role:user","/api/notification-preferences","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
141,"p","role:user","/api/notification-preferences","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
142,"p","role:user","/api/notification-preferences/{channel}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
143,"p","role:user","/api/admission-config/subjects","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
144,"p","role:user","/api/admission-config/methods","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
145,"p","role:officer","/api/leads/{lead_id}/consultations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
146,"p","role:officer","/api/leads/{lead_id}/consultations/{consultation_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
147,"p","role:officer","/api/leads/{lead_id}/consultations/{consultation_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
148,"p","role:officer","/api/leads/{lead_id}/timeline","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
149,"p","role:officer","/api/leads/{lead_id}/insights","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
150,"p","role:officer","/api/leads/my/reassign-quota","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
151,"p","role:officer","/api/leads/import/template","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
152,"p","role:officer","/api/leads/import","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
153,"p","role:officer","/api/admission-config/subjects","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
154,"p","role:officer","/api/admission-config/methods","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
155,"p","role:officer","/api/admission-config/criteria","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
156,"p","role:officer","/api/admission-config/criteria/{criteria_code}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
157,"p","role:manager","/api/leads/bulk-assign","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
158,"p","role:manager","/api/leads/distribution-preview","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
159,"p","role:manager","/api/leads/import/template","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
160,"p","role:manager","/api/leads/import","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
161,"p","role:manager","/api/admissions/{profile_id}/override","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
162,"p","role:manager","/api/admissions/{profile_id}/approve","POST",NULL,NULL,NULL,NULL,NULL,NULL
163,"p","role:manager","/api/admissions/{profile_id}/reject","POST",NULL,NULL,NULL,NULL,NULL,NULL
164,"p","role:officer","/api/admissions/{profile_id}/resubmit","POST",NULL,NULL,NULL,NULL,NULL,NULL
165,"p","role:user","/api/admissions/{profile_id}/confirm","POST",NULL,NULL,NULL,NULL,NULL,NULL
166,"p","role:admin","/api/admissions/{profile_id}/override","POST",NULL,NULL,NULL,NULL,NULL,NULL
167,"p","role:admin","/api/admissions/{profile_id}/finalize","POST",NULL,NULL,NULL,NULL,NULL,NULL
