"id","ptype","v0","v1","v2","v3","v4","v5","template_id","applied_at","applied_by"
58,"p","role:officer","/api/leads","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
59,"p","role:officer","/api/leads/{lead_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
60,"p","role:officer","/api/leads/{lead_id}/consultations","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
61,"p","role:officer","/api/leads/{lead_id}/action","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
62,"p","role:officer","/api/pipeline/stages","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
63,"p","role:officer","/api/pipeline/all","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
64,"p","role:officer","/api/pipeline/allowed-next-statuses","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
65,"p","role:officer","/api/officer/stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
66,"p","role:officer","/api/officer/dashboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
67,"p","role:officer","/api/officer/leaderboard","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
68,"p","role:officer","/api/officer/team-stats","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
69,"p","role:officer","/api/officer/upcoming-activities","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
70,"p","role:officer","/api/officer/availability","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
71,"p","role:officer","/api/officer/recommendations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
72,"p","role:officer","/api/admissions","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
73,"p","role:officer","/api/admissions","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
74,"p","role:officer","/api/admissions/{profile_id}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
75,"p","role:officer","/api/admissions/{profile_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
76,"p","role:officer","/api/admissions/{profile_id}/submit","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
78,"p","role:officer","/api/admissions/{profile_id}/documents/{doc_code}/upload","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
79,"p","role:officer","/api/profile","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
80,"p","role:officer","/api/profile","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
81,"p","role:officer","/api/notifications","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
82,"p","role:officer","/api/notifications/mark-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
83,"p","role:officer","/api/notifications/mark-all-as-read","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
84,"p","role:officer","/api/notifications/{notification_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
114,"p","role:admin","/*",".*",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
125,"g","role:officer","role:user",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
126,"g","role:manager","role:officer",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
127,"g","role:admin","role:manager",NULL,NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
145,"p","role:officer","/api/leads/{lead_id}/consultations","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
146,"p","role:officer","/api/leads/{lead_id}/consultations/{consultation_id}","PUT",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
147,"p","role:officer","/api/leads/{lead_id}/consultations/{consultation_id}","DELETE",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
148,"p","role:officer","/api/leads/{lead_id}/timeline","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
149,"p","role:officer","/api/leads/{lead_id}/insights","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
150,"p","role:officer","/api/leads/my/reassign-quota","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
151,"p","role:officer","/api/leads/import/template","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
152,"p","role:officer","/api/leads/import","POST",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
153,"p","role:officer","/api/admission-config/subjects","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
154,"p","role:officer","/api/admission-config/methods","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
155,"p","role:officer","/api/admission-config/criteria","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
156,"p","role:officer","/api/admission-config/criteria/{criteria_code}","GET",NULL,NULL,NULL,"_legacy","2026-01-06 14:44:12.749625",NULL
164,"p","role:officer","/api/admissions/{profile_id}/resubmit","POST",NULL,NULL,NULL,NULL,NULL,NULL
166,"p","role:admin","/api/admissions/{profile_id}/override","POST",NULL,NULL,NULL,NULL,NULL,NULL
167,"p","role:admin","/api/admissions/{profile_id}/finalize","POST",NULL,NULL,NULL,NULL,NULL,NULL
168,"p","role:officer","/api/admissions/{profile_id}/send-confirmation","POST",NULL,NULL,NULL,NULL,NULL,NULL
170,"p","role:manager","/api/admin/users",".*",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.549084",NULL
171,"p","role:manager","/api/leads","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.553575",NULL
172,"p","role:manager","/api/leads","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.554677",NULL
173,"p","role:manager","/api/leads/{lead_id}","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.555656",NULL
174,"p","role:manager","/api/leads/{lead_id}","PUT",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.556741",NULL
175,"p","role:manager","/api/leads/{lead_id}/assign","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.557959",NULL
176,"p","role:manager","/api/leads/{lead_id}/applications","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.559319",NULL
177,"p","role:manager","/api/leads/{lead_id}/applications","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.560299",NULL
178,"p","role:manager","/api/leads/export/csv","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.561701",NULL
179,"p","role:manager","/api/leads/export/excel","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.562664",NULL
180,"p","role:manager","/api/leads/bulk-assign","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.564622",NULL
181,"p","role:manager","/api/leads/distribution-preview","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.565607",NULL
182,"p","role:manager","/api/leads/import/template","GET",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.566713",NULL
183,"p","role:manager","/api/leads/import","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.567603",NULL
184,"p","role:manager","/api/admissions/{profile_id}/approve","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.568462",NULL
185,"p","role:manager","/api/admissions/{profile_id}/reject","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.569291",NULL
186,"p","role:manager","/api/admissions/{profile_id}/override","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.570195",NULL
187,"p","role:manager","/api/admissions/{profile_id}/send-confirmation","POST",NULL,NULL,NULL,"manager","2026-01-08 12:37:19.571177",NULL
188,"p","role:user","/api/profile","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.678601",NULL
189,"p","role:user","/api/profile","PUT",NULL,NULL,NULL,"user","2026-01-08 12:37:19.680573",NULL
190,"p","role:user","/api/notifications","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.681545",NULL
191,"p","role:user","/api/notifications/mark-as-read","POST",NULL,NULL,NULL,"user","2026-01-08 12:37:19.682529",NULL
192,"p","role:user","/api/notifications/mark-all-as-read","POST",NULL,NULL,NULL,"user","2026-01-08 12:37:19.683611",NULL
193,"p","role:user","/api/notifications/{notification_id}","DELETE",NULL,NULL,NULL,"user","2026-01-08 12:37:19.685095",NULL
194,"p","role:user","/api/notification-preferences","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.686135",NULL
195,"p","role:user","/api/notification-preferences","PUT",NULL,NULL,NULL,"user","2026-01-08 12:37:19.687122",NULL
196,"p","role:user","/api/notification-preferences/{channel}","PUT",NULL,NULL,NULL,"user","2026-01-08 12:37:19.687992",NULL
197,"p","role:user","/api/sessions","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.688791",NULL
198,"p","role:user","/api/sessions/{session_id}","DELETE",NULL,NULL,NULL,"user","2026-01-08 12:37:19.689628",NULL
199,"p","role:user","/api/sessions/revoke-all","POST",NULL,NULL,NULL,"user","2026-01-08 12:37:19.690372",NULL
200,"p","role:user","/api/security/login-history","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.691346",NULL
201,"p","role:user","/api/security/active-sessions","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.692147",NULL
202,"p","role:user","/api/security/not-me","POST",NULL,NULL,NULL,"user","2026-01-08 12:37:19.692931",NULL
203,"p","role:user","/api/admission-config/subjects","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.693622",NULL
204,"p","role:user","/api/admission-config/methods","GET",NULL,NULL,NULL,"user","2026-01-08 12:37:19.694428",NULL
