"id","code","name","subjects","display_order","is_active"
1,"AH1","Toán, Địa lí, Tiếng Hàn","[""math"", ""geography"", ""korean""]",1,True
2,"AH2","Toán, Hóa học, Tiếng Hàn","[""math"", ""chemistry"", ""korean""]",2,True
3,"AH3","Toán, Vật lí, Tiếng Hàn","[""math"", ""physics"", ""korean""]",3,True
4,"AH4","Toán, Sinh học, Tiếng Hàn","[""math"", ""biology"", ""korean""]",4,True
5,"AH5","Toán, Lịch sử, Tiếng Hàn","[""math"", ""history"", ""korean""]",5,True
6,"AH6","Toán, Giáo dục công dân, Tiếng Hàn","[""math"", ""civic_education"", ""korean""]",6,True
7,"AH7","Toán, Khoa học tự nhiên, Tiếng Hàn","[""math"", ""natural_science"", ""korean""]",7,True
8,"AH8","Toán, Khoa học xã hội, Tiếng Hàn","[""math"", ""social_science"", ""korean""]",8,True
9,"A00","Toán, Vật lí, Hóa học","[""math"", ""physics"", ""chemistry""]",9,True
10,"A01","Toán, Vật lí, Tiếng Anh","[""math"", ""physics"", ""english""]",10,True
11,"A02","Toán, Vật lí, Sinh học","[""math"", ""physics"", ""biology""]",11,True
12,"A03","Toán, Vật lí, Lịch sử","[""math"", ""physics"", ""history""]",12,True
13,"A04","Toán, Vật lí, Địa lí","[""math"", ""physics"", ""geography""]",13,True
14,"A05","Toán, Hóa học, Lịch sử","[""math"", ""chemistry"", ""history""]",14,True
15,"A06","Toán, Hóa học, Địa lí","[""math"", ""chemistry"", ""geography""]",15,True
16,"A07","Toán, Lịch sử, Địa lí","[""math"", ""history"", ""geography""]",16,True
17,"A08","Toán, Lịch sử, Giáo dục công dân","[""math"", ""history"", ""civic_education""]",17,True
18,"A09","Toán, Địa lí, Giáo dục công dân","[""math"", ""geography"", ""civic_education""]",18,True
19,"A10","Toán, Vật lí, Giáo dục công dân","[""math"", ""physics"", ""civic_education""]",19,True
20,"A11","Toán, Hoá học, Giáo dục công dân","[""math"", ""chemistry"", ""civic_education""]",20,True
21,"A12","Toán, Khoa học tự nhiên, Khoa học xã hội","[""math"", ""natural_science"", ""social_science""]",21,True
22,"A13","Toán, Khoa học tự nhiên, Lịch sử","[""math"", ""natural_science"", ""history""]",22,True
23,"A14","Toán, Khoa học tự nhiên, Địa lí","[""math"", ""natural_science"", ""geography""]",23,True
24,"A15","Toán, Khoa học tự nhiên, Giáo dục công dân","[""math"", ""natural_science"", ""civic_education""]",24,True
25,"A16","Toán, Khoa học tự nhiên, Ngữ văn","[""math"", ""natural_science"", ""literature""]",25,True
26,"A17","Toán, Vật lý, Khoa học xã hội","[""math"", ""physics"", ""social_science""]",26,True
27,"A18","Toán, Hoá học, Khoa học xã hội","[""math"", ""chemistry"", ""social_science""]",27,True
28,"B00","Toán, Hóa học, Sinh học","[""math"", ""chemistry"", ""biology""]",28,True
29,"B01","Toán, Sinh học, Lịch sử","[""math"", ""biology"", ""history""]",29,True
30,"B02","Toán, Sinh học, Địa lí","[""math"", ""biology"", ""geography""]",30,True
31,"B03","Toán, Sinh học, Ngữ văn","[""math"", ""biology"", ""literature""]",31,True
32,"B04","Toán, Sinh học, Giáo dục công dân","[""math"", ""biology"", ""civic_education""]",32,True
33,"B05","Toán, Sinh học, Khoa học xã hội","[""math"", ""biology"", ""social_science""]",33,True
34,"B08","Toán, Sinh học, Tiếng Anh","[""math"", ""biology"", ""english""]",34,True
35,"C00","Ngữ văn, Lịch sử, Địa lí","[""literature"", ""history"", ""geography""]",35,True
36,"C01","Ngữ văn, Toán, Vật lí","[""literature"", ""math"", ""physics""]",36,True
37,"C02","Ngữ văn, Toán, Hóa học","[""literature"", ""math"", ""chemistry""]",37,True
38,"C03","Ngữ văn, Toán, Lịch sử","[""literature"", ""math"", ""history""]",38,True
39,"C04","Ngữ văn, Toán, Địa lí","[""literature"", ""math"", ""geography""]",39,True
40,"C05","Ngữ văn, Vật lí, Hóa học","[""literature"", ""physics"", ""chemistry""]",40,True
41,"C06","Ngữ văn, Vật lí, Sinh học","[""literature"", ""physics"", ""biology""]",41,True
42,"C07","Ngữ văn, Vật lí, Lịch sử","[""literature"", ""physics"", ""history""]",42,True
43,"C08","Ngữ văn, Hóa học, Sinh học","[""literature"", ""chemistry"", ""biology""]",43,True
44,"C09","Ngữ văn, Vật lí, Địa lí","[""literature"", ""physics"", ""geography""]",44,True
45,"C10","Ngữ văn, Hóa học, Lịch sử","[""literature"", ""chemistry"", ""history""]",45,True
46,"C11","Ngữ văn, Hóa học, Địa lí","[""literature"", ""chemistry"", ""geography""]",46,True
47,"C12","Ngữ văn, Sinh học, Lịch sử","[""literature"", ""biology"", ""history""]",47,True
48,"C13","Ngữ văn, Sinh học, Địa lí","[""literature"", ""biology"", ""geography""]",48,True
49,"C14","Ngữ văn, Toán, Giáo dục công dân","[""literature"", ""math"", ""civic_education""]",49,True
50,"C15","Ngữ văn, Toán, Khoa học xã hội","[""literature"", ""math"", ""social_science""]",50,True
51,"C16","Ngữ văn, Vật lí, Giáo dục công dân","[""literature"", ""physics"", ""civic_education""]",51,True
52,"C17","Ngữ văn, Hóa học, Giáo dục công dân","[""literature"", ""chemistry"", ""civic_education""]",52,True
53,"C18","Ngữ văn, Sinh học, Giáo dục công dân","[""literature"", ""biology"", ""civic_education""]",53,True
54,"C19","Ngữ văn, Lịch sử, Giáo dục công dân","[""literature"", ""history"", ""civic_education""]",54,True
55,"C20","Ngữ văn, Địa lí, Giáo dục công dân","[""literature"", ""geography"", ""civic_education""]",55,True
56,"C21","Ngữ văn, Khoa học tự nhiên, Khoa học xã hội","[""literature"", ""natural_science"", ""social_science""]",56,True
57,"C22","Ngữ văn, Địa lí, Khoa học tự nhiên","[""literature"", ""geography"", ""natural_science""]",57,True
58,"C23","Ngữ văn, Giáo dục công dân, Khoa học tự nhiên","[""literature"", ""civic_education"", ""natural_science""]",58,True
59,"C24","Ngữ văn, Khoa học xã hội, Vật lí","[""literature"", ""social_science"", ""physics""]",59,True
60,"C25","Ngữ văn, Khoa học xã hội, Hoá học","[""literature"", ""social_science"", ""chemistry""]",60,True
61,"C26","Ngữ văn, Khoa học xã hội, Sinh học","[""literature"", ""social_science"", ""biology""]",61,True
62,"DD0","Toán, Khoa học xã hội, Tiếng Nhật","[""math"", ""social_science"", ""japanese""]",62,True
63,"DD1","Toán, Khoa học xã hội, Tiếng Trung","[""math"", ""social_science"", ""chinese""]",63,True
