"id","name","phase","stage_id","color_code","outcome_type","is_final_status","is_universal","updates_pipeline","selectable_by_user"
"sts00","Chưa tiếp cận","consultation","stg01","#3B82F6","neutral",false,false,true,true
"sts01","Không nghe máy","universal",null,"#6366F1","neutral",false,true,false,true
"sts02","Đã kết nối liên hệ","consultation","stg01","#6B7280","neutral",false,false,true,true
"sts03","Có nhu cầu tìm hiểu","consultation","stg02","#F59E0B","neutral",false,false,true,true
"sts04","Từ chối tư vấn","consultation","stg02","#EF4444","negative",true,false,true,true
"sts05","Hẹn liên hệ lại","consultation","stg02","#F59E0B","neutral",false,false,false,true
"sts06","Đồng ý tư vấn","consultation","stg02","#10B981","positive",false,false,false,true
"sts07","Đã tiếp nhận hồ sơ","admission","stg03","#3B82F6","neutral",false,false,true,true
"sts08","Không tiếp tục hồ sơ","admission","stg04","#EF4444","negative",true,false,true,true
"sts09","Đủ điều kiện nhập học","admission","stg04","#10B981","positive",false,false,true,"role-based"
"sts10","Đã hoàn tất học phí","fee","stg05","#10B981","positive",false,false,true,false
"sts11","Đã xác nhận nhập học","enrolled","stg06","#10B981","positive",true,false,true,false
"sts12","Ngừng theo học","enrolled","stg07","#EF4444","negative",true,false,true,false
"sts13","Đã hoàn tất lệ phí xét tuyển","admission","stg03","#10B981","positive",false,false,false,false
"sts14","Chưa hoàn tất học phí","fee","stg05","#F59E0B","neutral",false,false,true,true
"sts15","Nhắn tin không phản hồi","universal",null,"#14B8A6","neutral",false,true,false,true
"sts16","Hồ sơ không đạt yêu cầu","admission","stg04","#EF4444","negative",true,false,true,"role-based"
"sts17","Yêu cầu bổ sung hồ sơ","admission","stg03","#F59E0B","neutral",false,false,false,true
"sts18","Đã hoàn học phí","fee","stg05","#EF4444","negative",true,false,true,false
