"id","name","color_code","stage_id","outcome_type","is_final_status","legacy_status","is_universal","updates_pipeline","counts_for_kpi","phase","selectable_by_user"
"sts00","Chưa tiếp cận","#3B82F6","stg01","neutral",False,"new",False,True,True,"consultation","true"
"sts01","Không nghe máy","#6366F1","stg01","neutral",False,"new",True,False,True,"universal","true"
"sts02","Đã kết nối liên hệ","#6B7280","stg01","neutral",False,"new",False,True,True,"consultation","true"
"sts03","Có nhu cầu tìm hiểu","#F59E0B","stg02","neutral",False,"contacted",False,True,True,"consultation","true"
"sts04","Từ chối tư vấn","#EF4444","stg02","negative",True,"rejected",False,True,True,"consultation","true"
"sts05","Hẹn liên hệ lại","#F59E0B","stg02","neutral",False,"contacted",False,False,True,"consultation","true"
"sts06","Đồng ý tư vấn","#10B981","stg02","positive",False,"qualified",False,False,True,"consultation","true"
"sts07","Đã tiếp nhận hồ sơ","#3B82F6","stg03","neutral",False,"qualified",False,True,True,"admission","true"
"sts08","Không tiếp tục hồ sơ","#EF4444","stg04","negative",True,"unqualified",False,True,True,"admission","true"
"sts09","Đủ điều kiện nhập học","#10B981","stg04","positive",False,"qualified",False,True,True,"admission","role-based"
"sts10","Đã hoàn tất học phí","#10B981","stg05","positive",False,"qualified",False,True,True,"fee","false"
"sts11","Đã xác nhận nhập học","#10B981","stg06","positive",True,"converted",False,True,True,"enrolled","false"
"sts12","Ngừng theo học","#EF4444","stg07","negative",True,"unqualified",False,True,True,"enrolled","false"
"sts13","Đã hoàn tất lệ phí xét tuyển","#10B981","stg03","positive",False,"qualified",False,False,True,"admission","false"
"sts14","Chưa hoàn tất học phí","#F59E0B","stg05","neutral",False,"qualified",False,True,True,"fee","true"
"sts15","Nhắn tin không phản hồi","#14B8A6","stg01","neutral",False,"new",True,False,True,"universal","true"
"sts16","Hồ sơ không đạt yêu cầu","#EF4444","stg04","negative",True,"unqualified",False,True,True,"admission","role-based"
"sts17","Yêu cầu bổ sung hồ sơ","#F59E0B","stg03","neutral",False,"unqualified",False,False,True,"admission","true"
"sts18","Đã hoàn học phí","#EF4444","stg05","negative",True,"unqualified",False,True,False,"fee","false"
