"id","name","color_code","stage_id","outcome_type","is_final_status","legacy_status","is_universal","updates_pipeline","counts_for_kpi","phase","selectable_by_user","display_order","code","is_final","status_type","selectable_mode","counts_for_funnel","description"
"sts00","Chưa tiếp cận","#9CA3AF","stg01","neutral",False,"new",False,True,True,"consultation","user",0,"NOT_CONTACTED",False,"transition","user",True,"Lead mới tạo, chưa có tương tác"
"sts01","Không nghe máy","#94A3B8",NULL,"neutral",False,"new",True,False,False,"universal","user",900,"NO_ANSWER",False,"activity","user",False,"Gọi điện không bắt máy"
"sts02","Đã kết nối liên hệ","#38BDF8","stg01","neutral",False,"new",False,True,True,"consultation","user",10,"CONTACTED",False,"transition","user",True,"Đã liên hệ được"
"sts03","Có nhu cầu tìm hiểu","#FACC15","stg02","neutral",False,"qualified ",False,True,True,"consultation","user",20,"INTERESTED",False,"transition","user",True,"Lead có quan tâm"
"sts04","Từ chối tư vấn","#EF4444","stg02","negative",True,"rejected",False,True,True,"consultation","user",30,"CONSULT_REJECTED",False,"transition","user",True,"Từ chối hoàn toàn"
"sts05","Hẹn liên hệ lại","#A78BFA","stg02","neutral",False,"contacted",False,True,True,"consultation","user",40,"CALLBACK_LATER",False,"transition","user",False,"Hẹn gọi lại"
"sts06","Đồng ý tư vấn","#22C55E","stg02","positive",False,"qualified",False,True,True,"consultation","user",50,"CONSULT_ACCEPTED",False,"transition","user",True,"Đồng ý bước tư vấn"
"sts07","Đã tiếp nhận hồ sơ","#FB923C","stg03","neutral",False,"qualified",False,True,True,"admission","user",300,"APPLICATION_RECEIVED",False,"transition","user",True,"Đã tạo hồ sơ xét tuyển"
"sts08","Không tiếp tục hồ sơ","#DC2626","stg04","negative",True,"unqualified",False,True,True,"admission","user",330,"APPLICATION_WITHDRAWN",True,"transition","user",True,"Lead tự dừng"
"sts09","Đủ điều kiện nhập học","#F97316","stg04","positive",False,"qualified",False,True,True,"admission","system",350,"ELIGIBLE_FOR_ENROLLMENT",False,"system","system",True,"Hồ sơ được duyệt"
"sts10","Đã hoàn tất học phí","#16A34A","stg05","positive",False,"qualified",False,True,True,"fee","system",410,"TUITION_PAID",False,"system","system",True,"Thanh toán học phí thành công"
"sts11","Đã xác nhận nhập học","#15803D","stg06","positive",True,"converted",False,True,True,"enrolled","system",500,"ENROLLED",True,"system","system",True,"Chính thức trở thành sinh viên"
"sts12","Ngừng theo học","#7F1D1D","stg07","negative",True,"unqualified",False,True,True,"enrolled","role",510,"DROPPED_OUT",True,"transition","role",True,"Sinh viên thôi học"
"sts13","Đã hoàn tất lệ phí xét tuyển","#4ADE80","stg03","positive",False,"qualified",False,True,True,"admission","system",340,"APPLICATION_FEE_PAID",False,"system","system",False,"System ghi nhận thanh toán lệ phí"
"sts14","Chưa hoàn tất học phí","#FBBF24","stg05","neutral",False,"unqualified",False,True,True,"fee","user",400,"TUITION_PENDING",False,"transition","user",True,"Chưa đóng đủ học phí"
"sts15","Nhắn tin không phản hồi","#64748B",NULL,"neutral",False,"new",True,False,False,"universal","user",910,"NO_REPLY_MESSAGE",False,"activity","user",False,"Có gửi tin nhưng không phản hồi"
"sts16","Hồ sơ không đạt yêu cầu","#B91C1C","stg04","negative",True,"unqualified",False,True,True,"admission","role",320,"APPLICATION_REJECTED",True,"transition","role",True,"Hồ sơ bị từ chối"
"sts17","Yêu cầu bổ sung hồ sơ","#0EA5E9","stg03","neutral",False,"unqualified",False,True,True,"admission","user",310,"APPLICATION_REVISION",False,"transition","user",False,"Yêu cầu nộp thêm giấy tờ"
"sts18","Đã hoàn học phí","#6B7280","stg05","negative",True,"unqualified",False,True,False,"fee","system",420,"TUITION_REFUNDED",True,"system","system",False,"Hoàn tiền học phí"
"sts19","Đã hủy lịch hẹn","#FF6B6B",NULL,"neutral",False,NULL,True,False,True,"universal","true",920,"CANCELLED",False,"activity","user",False,"Lịch hẹn tư vấn bị hủy"
