ETHNICITIES;NATIONALITIES;RELIGIONS;DISABILITY_TYPES;FAMILY_TYPES
Kinh;Khác;Phật giáo;Khuyết tật vận động;Hộ nghèo
Tày;Áp-ga-ni-xtan;Công giáo;"Khuyết tật nghe nói
";Hộ đặc biệt khó khăn
Thái;An ba ni;Phật giáo Hòa Hảo;Khuyết tật nhìn;Hộ gia đình là người dân tộc thiểu số
Hoa;An giê ri;Hồi giáo;Khuyết tật thần kinh tâm thần;Hộ gia đình có người là thương binh, bệnh binh, người có công với cách mạng
Khơ-me;Ăng -gô-la;Cao Đài;"Khuyết tật trí tuệ
";Hộ gia đình bị ảnh hưởng bởi chất độc màu da cam do chiến tranh để lại
Mường;A-déc-bai-gian;Minh sư đạo;"Khuyết tật khác
";
Nùng;Ac-hen-ti-na;Minh Lý đạo;;
Hmông;Úc;Tin Lành;;
Dao;Áo;Tịnh độ cư sĩ Phật hồi Việt Nam;;
Gia-rai;Ba-ranh;Đạo tứ ấn hiếu nghĩa;;
Ngái;Băng-la-đét;Bửu sơn Kỳ Hương;;
Ê-đê;Ar-mê-nia;Ba Ha'i;;
Ba-na;Bỉ;Tôn giáo khác;;
Xơ-đăng;BuTan;Không;;
Sán Chay;Bô-li-vi-a;;;
Cơ-ho;Booxx-na He-rơ-xe-gô-vin-na;;;
Chăm;Bốt-xoa-na;;;
Sán Dìu;B-ra-xin;;;
Hrê;Quần đảo Sô-lô-môn;;;
Mnông;B-ru-nây;;;
Ra-glai;Bun-ga-ri;;;
Xtiêng;My-an-ma;;;
Bru-Vân Kiều;Bu-run-đi;;;
Thổ;Be-lo-rut-xia;;;
Giáy;Căm-Pu-Chia;;;
Cơ-tu;Can-mơ-run;;;
Gié-Triêng;Ca-na-đa;;;
Mạ;Cộng hòa Trung Phi;;;
Khơ-mú;Sri-lan-ka;;;
Co;Sat;;;
Ta-ôi;Nam Phi;;;
Chơ-ro;Chi Lê;;;
Kháng;CHND Trung Hoa;;;
Xinh-mun;Đài Loan;;;
Hà Nhì;Cộng hòa Gabon;;;
Chu-ru;Cô-lôm-bi-a;;;
Lào;Cộng hòa Dân chủ Congo;;;
La Chi;Cốt-ta-ri-ca;;;
La Ha;Croát-ti-a;;;
Phù Lá;Cuba;;;
La Hủ;Cộng hòa Séc;;;
Lự;Đan Mạch;;;
Lô Lô;Dominica;;;
Chứt;Ê-cu-a-đo;;;
Mảng;En Xan-va-đo;;;
Pà Thẻn;Et-to-ni;;;
Cơ Lao;Phi-Ghi;;;
Cống;Phần Lan;;;
Bố Y;Pháp;;;
Si La;Gru-dia;;;
Pu Péo;Dăm-bia;;;
Brâu;Pa-le-xtin;;;
Ơ Đu;Đức;;;
Rơ-măm;Gha-na;;;
Người nước ngoài;Ki-ri-ba-ti;;;
;Hy Lạp;;;
