"id","lead_id","changed_by_user_id","reason","changed_at","old_status","new_status","old_consultation_status_id","new_consultation_status_id","old_pipeline_stage_id","new_pipeline_stage_id","old_assigned_officer_id","new_assigned_officer_id"
440,346,8,"Stage transition: stg01 → stg02","2025-11-01 23:53:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
441,347,9,"Stage transition: stg01 → stg02","2025-11-30 15:14:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
442,348,7,"Stage transition: stg01 → stg02","2025-10-22 19:04:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
443,349,8,"Stage transition: stg01 → stg02","2025-10-21 15:21:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
444,350,9,"Stage transition: stg01 → stg02","2025-11-18 03:26:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
445,350,9,"Stage transition: stg02 → stg03","2025-11-19 18:26:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
446,351,7,"Stage transition: stg01 → stg02","2025-11-29 19:24:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
447,352,8,"Stage transition: stg01 → stg02","2025-11-06 07:30:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
448,352,8,"Stage transition: stg02 → stg07","2025-11-16 18:30:39.646161+07","assigned","unqualified",NULL,NULL,"stg02","stg07",8,8
449,353,9,"Stage transition: stg01 → stg02","2025-11-10 10:22:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
450,353,9,"Stage transition: stg02 → stg03","2025-11-22 04:22:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
451,354,7,"Stage transition: stg01 → stg02","2025-10-08 06:23:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
452,354,7,"Stage transition: stg02 → stg07","2025-10-11 19:23:39.646161+07","contacted","unqualified",NULL,NULL,"stg02","stg07",7,7
453,355,8,"Stage transition: stg01 → stg02","2025-12-13 14:05:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
454,358,8,"Stage transition: stg01 → stg02","2025-10-31 01:03:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
455,358,8,"Stage transition: stg02 → stg03","2025-11-14 18:03:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
456,358,8,"Stage transition: stg03 → stg04","2025-11-24 12:03:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
457,358,8,"Stage transition: stg04 → stg05","2025-12-03 00:03:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",8,8
458,361,8,"Stage transition: stg01 → stg02","2025-10-18 21:29:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
459,361,8,"Stage transition: stg02 → stg03","2025-10-31 11:29:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
460,361,8,"Stage transition: stg03 → stg04","2025-11-03 00:29:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
461,361,8,"Stage transition: stg04 → stg05","2025-11-05 17:29:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",8,8
462,363,7,"Stage transition: stg01 → stg02","2025-11-25 21:48:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
463,363,7,"Stage transition: stg02 → stg03","2025-11-27 06:48:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
464,367,8,"Stage transition: stg01 → stg02","2025-12-14 19:54:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
465,368,9,"Stage transition: stg01 → stg02","2025-10-05 13:05:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
466,368,9,"Stage transition: stg02 → stg03","2025-10-15 21:05:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
467,368,9,"Stage transition: stg03 → stg04","2025-10-19 10:05:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
468,368,9,"Stage transition: stg04 → stg05","2025-10-27 21:05:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",9,9
469,371,9,"Stage transition: stg01 → stg02","2025-10-29 14:28:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
470,372,7,"Stage transition: stg01 → stg02","2025-10-17 06:31:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
471,373,8,"Stage transition: stg01 → stg02","2025-10-13 08:03:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
472,374,9,"Stage transition: stg01 → stg02","2025-11-20 20:17:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
473,375,7,"Stage transition: stg01 → stg02","2025-11-16 08:37:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
474,376,8,"Stage transition: stg01 → stg02","2025-12-04 13:26:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
475,376,8,"Stage transition: stg02 → stg03","2025-12-12 05:26:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
476,378,7,"Stage transition: stg01 → stg02","2025-11-22 10:05:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
477,378,7,"Stage transition: stg02 → stg03","2025-11-26 23:05:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",7,7
478,378,7,"Stage transition: stg03 → stg04","2025-11-29 17:05:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",7,7
479,378,7,"Stage transition: stg04 → stg05","2025-12-03 03:05:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",7,7
480,379,8,"Stage transition: stg01 → stg02","2025-10-27 13:52:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
481,379,8,"Stage transition: stg02 → stg03","2025-11-04 04:52:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
482,379,8,"Stage transition: stg03 → stg04","2025-11-11 22:52:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
483,380,9,"Stage transition: stg01 → stg02","2025-12-14 07:27:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
484,382,8,"Stage transition: stg01 → stg02","2025-11-18 17:54:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
485,382,8,"Stage transition: stg02 → stg03","2025-11-21 01:54:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
486,382,8,"Stage transition: stg03 → stg04","2025-11-27 10:54:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
487,382,8,"Stage transition: stg04 → stg05","2025-12-03 01:54:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",8,8
488,383,9,"Stage transition: stg01 → stg02","2025-10-22 18:11:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
489,383,9,"Stage transition: stg02 → stg03","2025-10-27 09:11:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
490,383,9,"Stage transition: stg03 → stg04","2025-11-08 19:11:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
491,384,7,"Stage transition: stg01 → stg02","2025-11-20 04:07:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
492,384,7,"Stage transition: stg02 → stg03","2025-12-04 22:07:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
493,385,8,"Stage transition: stg01 → stg02","2025-12-08 00:52:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
494,387,7,"Stage transition: stg01 → stg02","2025-10-11 06:58:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
495,387,7,"Stage transition: stg02 → stg03","2025-10-21 23:58:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",7,7
496,388,8,"Stage transition: stg01 → stg02","2025-11-12 05:34:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
497,388,8,"Stage transition: stg02 → stg03","2025-11-19 14:34:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
498,388,8,"Stage transition: stg03 → stg04","2025-12-01 01:34:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
499,391,8,"Stage transition: stg01 → stg02","2025-11-04 13:26:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
500,395,9,"Stage transition: stg01 → stg02","2025-10-30 03:39:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
501,395,9,"Stage transition: stg02 → stg03","2025-10-31 14:39:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
502,397,8,"Stage transition: stg01 → stg02","2025-11-06 06:43:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
