"id","subject_group_id","subject_id","position"
37,16,1,1
38,16,4,2
39,16,5,3
40,17,1,1
41,17,4,2
42,17,3,3
43,18,1,1
44,18,4,2
45,18,6,3
46,19,1,1
47,19,5,2
48,19,6,3
49,20,1,1
50,20,6,2
51,20,3,3
52,21,2,1
53,21,7,2
54,21,8,3
55,22,2,1
56,22,1,2
57,22,4,3
58,23,2,1
59,23,1,2
60,23,3,3
61,24,1,1
62,24,5,2
63,24,3,3
64,25,2,1
65,25,7,2
66,25,3,3
67,26,1,1
68,26,2,2
69,27,1,1
70,27,3,2
71,28,1,1
72,28,2,2
73,29,1,1
74,29,4,2
75,30,1,1
76,31,2,1
77,32,1,1
78,32,4,2
79,32,5,3
80,32,6,4
81,33,2,1
82,33,7,2
83,33,8,3
84,33,9,4
85,34,1,1
86,34,2,2
87,34,4,3
88,34,5,4
89,34,6,5
90,34,7,6
91,34,8,7
92,34,3,8
