ward_code,ward_name,kind,area_code,source_summary
22015,Phường Tuy Hòa,PHUONG,KV2,Default: Phường tỉnh
22045,Phường Bình Kiến,PHUONG,KV1,KK/ĐBKK (1 old xã)
22051,Phường Sông Cầu,PHUONG,KV1,KK/ĐBKK (2 old xã)
22057,Xã Xuân Lộc,XA,KV1,KK/ĐBKK (1 old xã)
22060,Xã Xuân Cảnh,XA,KV1,KK/ĐBKK (3 old xã)
22075,Xã Xuân Thọ,XA,KV1,KK/ĐBKK (2 old xã)
22076,Phường Xuân Đài,PHUONG,KV2,Default: Phường tỉnh
22081,Xã Đồng Xuân,XA,KV1,KK/ĐBKK (7 old xã)
22090,Xã Xuân Lãnh,XA,KV1,KK/ĐBKK (2 old xã)
22096,Xã Phú Mỡ,XA,KV1,KK/ĐBKK (2 old xã)
22111,Xã Xuân Phước,XA,KV1,KK/ĐBKK (3 old xã)
22114,Xã Tuy An Bắc,XA,KV2-NT,Default: Xã tỉnh
22120,Xã Tuy An Đông,XA,KV1,KK/ĐBKK (2 old xã)
22132,Xã Tuy An Tây,XA,KV1,KK/ĐBKK (4 old xã)
22147,Xã Ô Loan,XA,KV1,KK/ĐBKK (3 old xã)
22153,Xã Tuy An Nam,XA,KV1,KK/ĐBKK (4 old xã)
22165,Xã Sơn Hòa,XA,KV1,KK/ĐBKK (7 old xã)
22171,Xã Tây Sơn,XA,KV1,KK/ĐBKK (3 old xã)
22177,Xã Vân Hòa,XA,KV1,KK/ĐBKK (4 old xã)
22192,Xã Suối Trai,XA,KV1,KK/ĐBKK (2 old xã)
22207,Xã Sông Hinh,XA,KV1,KK/ĐBKK (3 old xã)
22222,Xã Đức Bình,XA,KV1,KK/ĐBKK (5 old xã)
22225,Xã Ea Bá,XA,KV1,KK/ĐBKK (1 old xã)
22237,Xã Ea Ly,XA,KV1,KK/ĐBKK (1 old xã)
22240,Phường Phú Yên,PHUONG,KV2,Default: Phường tỉnh
22250,Xã Sơn Thành,XA,KV1,KK/ĐBKK (4 old xã)
22255,Xã Tây Hòa,XA,KV2-NT,Default: Xã tỉnh
22258,Phường Đông Hòa,PHUONG,KV2,Default: Phường tỉnh
22261,Phường Hòa Hiệp,PHUONG,KV1,KK/ĐBKK (1 old xã)
22276,Xã Hòa Thịnh,XA,KV1,KK/ĐBKK (1 old xã)
22285,Xã Hòa Mỹ,XA,KV1,KK/ĐBKK (1 old xã)
22291,Xã Hòa Xuân,XA,KV1,KK/ĐBKK (2 old xã)
22303,Xã Phú Hòa 2,XA,KV2-NT,Default: Xã tỉnh
22319,Xã Phú Hòa 1,XA,KV1,KK/ĐBKK (1 old xã)
